Id,Predicted
0,3288.787
1,2728.9148
2,3501.3245
3,1951.4971
4,2645.181
5,2079.5447
6,2174.818
7,3335.9148
8,2653.1748
9,4108.189
10,2109.6655
11,2795.6262
12,2861.7725
13,2576.4294
14,2233.1619
15,2572.2644
16,2000.2289
17,2615.1946
18,2383.1086
19,2930.9312
20,1844.7694
21,2845.8015
22,2359.4045
23,2979.6448
24,3014.438
25,1966.9845
26,2496.5146
27,2555.3052
28,2326.723
29,3181.9119
30,3102.1416
31,2449.2341
32,2295.7249
33,2404.243
34,1903.144
35,2024.1572
36,1520.1934
37,2549.7368
38,2886.512
39,3032.988
40,1953.1597
41,2970.0325
42,2935.0525
43,2836.1082
44,1818.8468
45,3315.1797
46,2328.8743
47,2362.9492
48,2093.1619
49,1861.2118
50,1876.9268
51,2836.5747
52,2426.775
53,1635.5941
54,1896.7832
55,3417.929
56,2869.1794
57,3042.5383
58,2237.3782
59,2976.332
60,2386.8235
61,2361.754
62,2917.4832
63,2385.488
64,2887.8157
65,2891.6975
66,2573.4902
67,2512.7246
68,2321.921
69,2733.8928
70,1529.5126
71,2189.588
72,2765.9363
73,2021.8915
74,2704.0283
75,3037.3018
76,2055.7002
77,2198.505
78,3189.465
79,2770.7212
80,2855.073
81,2577.3726
82,3212.6733
83,2340.0193
84,2355.085
85,2403.941
86,3199.5525
87,2363.7273
88,1993.6992
89,2389.174
90,2722.527
91,2493.1892
92,2606.4285
93,1926.9304
94,3966.489
95,2482.6643
96,2727.979
97,2161.988
98,2495.9048
99,2426.3394
100,2820.1746
101,3115.8801
102,2864.1323
103,3352.9607
104,2255.1926
105,4122.4673
106,1830.1335
107,2151.41
108,3020.1238
109,2471.2366
110,1756.4883
111,2074.1504
112,3741.8652
113,2262.703
114,1955.1636
115,1986.8103
116,2080.998
117,2437.642
118,2446.78
119,2101.4001
120,3270.556
121,2546.8809
122,4069.3647
123,2667.6816
124,2490.781
125,2974.0903
126,2435.1372
127,1955.7699
128,2803.492
129,3002.714
130,4220.5737
131,1911.7155
132,3569.3296
133,3280.238
134,2587.8755
135,2016.6649
136,3270.556
137,2954.3237
138,2375.8445
139,2086.6353
140,3074.269
141,3422.6472
142,1997.2284
143,2626.8428
144,3092.8552
145,2202.1191
146,2695.3276
147,2435.341
148,2508.4485
149,2493.7769
150,3316.686
151,2728.75
152,3321.6196
153,3631.9675
154,2134.1467
155,3145.7527
156,2231.6072
157,2843.457
158,3108.5776
159,3274.4363
160,2630.8232
161,2309.3496
162,2361.1125
163,3152.862
164,2750.2485
165,2094.6814
166,3340.5256
167,1892.1674
168,2957.3994
169,2654.6572
170,1871.1251
171,2352.5586
172,2348.831
173,2392.8691
174,2355.9827
175,2495.2727
176,3188.8694
177,3245.7207
178,2016.6
179,2267.5574
180,2269.2341
181,3863.4175
182,2634.513
183,2527.5652
184,4157.016
185,2402.1807
186,2200.8975
187,2268.3054
188,2791.01
189,2205.2666
190,3417.335
191,2172.6594
192,2870.035
193,4342.487
194,2579.4785
195,2701.2898
196,3243.7383
197,1912.8782
198,3434.791
199,2879.0576
200,2793.1848
201,2247.834
202,2029.6542
203,2217.2922
204,1984.9932
205,2695.3015
206,2803.694
207,2087.3435
208,3717.4116
209,2168.7217
210,2449.818
211,2568.985
212,2545.632
213,3732.871
214,2139.0083
215,2394.227
216,3184.8286
217,2443.7454
218,2094.5098
219,1940.3894
220,2910.8628
221,2034.1332
222,2365.4368
223,2704.4065
224,1705.3691
225,2357.548
226,2337.6418
227,2448.138
228,3391.4263
229,2591.117
230,2046.6997
231,3360.467
232,3403.411
233,3157.827
234,2459.5535
235,2120.1755
236,2134.777
237,3065.5989
238,2640.0579
239,2940.1653
240,3050.623
241,2351.2642
242,2584.67
243,2520.9192
244,2700.2234
245,2801.2295
246,3086.1907
247,2468.0242
248,3399.6165
249,3310.2463
250,2669.1816
251,1954.576
252,3763.9775
253,2776.8855
254,2381.5386
255,2364.8943
256,2329.516
257,1903.0989
258,2148.7976
259,2432.6946
260,2254.4072
261,2247.0269
262,3438.7083
263,2178.2925
264,2236.443
265,3342.6558
266,2552.1907
267,2716.917
268,1929.4714
269,2138.6233
270,2762.766
271,2432.4324
272,2179.013
273,2386.251
274,2074.3086
275,3033.699
276,2431.006
277,2521.7888
278,3611.8474
279,2207.3193
280,3590.736
281,2567.1118
282,2912.6777
283,3442.8667
284,1371.3446
285,3184.285
286,2523.9082
287,2334.087
288,2563.215
289,3420.8003
290,2309.3162
291,2616.2131
292,1825.0327
293,4698.9014
294,2580.4624
295,3298.2468
296,3649.1558
297,1876.0198
298,2496.2576
299,2409.9448
300,4256.954
301,2184.8442
302,2093.1921
303,2928.1162
304,1908.2172
305,2149.573
306,2496.7842
307,2336.6685
308,2215.0398
309,1972.4877
310,3383.0474
